"OBJECTID","YEAR_","STATE","AGENCY","UNIT_ID","FIRE_NAME","INC_NUM","ALARM_DATE","CONT_DATE","CAUSE","C_METHOD","OBJECTIVE","GIS_ACRES","COMMENTS","COMPLEX_NAME","IRWINID","FIRE_NUM","COMPLEX_ID","DECADES","Shape__Area","Shape__Length"
1208,2020,"CA","USF","MDF","ALLEN","00000470","2020/07/21 00:00:00+00","2020/08/27 00:00:00+00",1,3,1,1034.795,"","","{A7920665-A4BB-47FA-871C-976D3213AB40}","","",2020,7439245.47265625,19543.3077463598
1209,2020,"CA","USF","INF","BEACH","00002140","2020/08/16 00:00:00+00","2020/08/27 00:00:00+00",1,7,1,3668.429,"","","{61092DF2-2505-4B5D-8CC5-D1896138C918}","","",2020,23903367.40625,33018.521244009
1210,2020,"CA","USF","TNF","LOYALTON","00001600","2020/08/14 00:00:00+00","2020/08/27 00:00:00+00",1,8,1,46720.91,"","","{0896AFFE-7839-40D4-BA6D-407F47E4CAA6}","","",2020,319860110.5625,132036.550482008
1211,2020,"CA","USF","PNF","SHEEP","00001299","2020/08/17 00:00:00+00","2020/09/07 00:00:00+00",1,7,1,29541.14,"","","{FB31F965-B88D-4C84-8B88-3241F38187CC}","","",2020,205912404.46875,123134.86978424
1212,2020,"CA","USF","LPF","DOLAN","00002428","2020/08/18 00:00:00+00","2020/12/31 00:00:00+00",14,7,1,124527.4,"","","{F0A60F88-D1D5-4D86-8105-A3A06456B357}","","",2020,772950527.878906,255261.397082853
1213,2020,"CA","USF","KNF","FOX","00007241","2020/09/14 00:00:00+00","2020/09/28 00:00:00+00",4,3,1,2027.554,"","","{C0DD9C3E-2CC6-486F-BA0B-2384310B0DF0}","","",2020,14524107.9726562,35565.7575078034
1215,2020,"CA","USF","PNF","NORTH COMPLEX","00001308","2020/08/17 00:00:00+00","2020/12/03 00:00:00+00",1,1,1,318797.3,"","NORTH COMPLEX","{6701B25B-7005-4C57-8577-96E15AC213C4}","","",2020,2183903306.8125,515161.140670983
1216,2020,"CA","USF","SQF","CASTLE","00002541","2020/08/19 00:00:00+00","2021/01/04 00:00:00+00",1,7,1,170647.9,"","SQF COMPLEX","{4CE00061-B897-49DC-8839-D08E040FF65D}","","002622",2020,1063135639.72266,897716.760534046
1217,2020,"CA","USF","ENF","FORK","00027219","2020/09/08 00:00:00+00","2020/11/08 00:00:00+00",14,7,1,1668.45,"","","{D1A5A79C-0354-4C70-83EA-9A0F37488850}","","",2020,11191288.7734375,27875.0337976843
1220,2020,"CA","USF","SNF","CREEK","00001391","2020/09/04 00:00:00+00","2020/12/24 00:00:00+00",14,8,1,379842.4,"","","{33CBB9DC-6983-4F47-B821-9C9A6CAC381D}","","",2020,2435747263.73438,1030210.52228472
1226,2020,"CA","USF","KNF","DEVIL","00007084","2020/09/09 00:00:00+00","",14,7,1,8871.938,"","","{C99607D1-B1D4-4FE3-9B28-36C315AC4306}","","",2020,64904831.3125,108856.594837955
1237,2020,"CA","USF","KNF","SLATER","00007035","2020/09/08 00:00:00+00","2020/12/12 00:00:00+00",14,3,1,157429.9,"","","{24CDAB5C-7832-4546-BD05-15CC702A0326}","","",2020,1152491339.65625,580102.551891632
1246,2020,"CA","USF","ANF","LAKE","00003273","2020/08/12 00:00:00+00","2020/08/30 00:00:00+00",14,7,1,30999.4,"","","{BD5901D9-C99A-45CB-B799-F1CAD5F3EA4B}","","",2020,185934914.699219,117870.197834675
